test_id,node,test_category,test_description,test,result,failure_reason
14,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet9 - host2_Ethernet1,PASS,
15,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf1_Ethernet1,PASS,
16,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf1_Ethernet2,PASS,
17,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1_Ethernet4,PASS,
18,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2_Ethernet4,PASS,
19,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3_Ethernet4,PASS,
20,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host1_Ethernet2,PASS,
21,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet9 - host2_Ethernet2,PASS,
22,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf4_Ethernet1,PASS,
23,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf4_Ethernet2,PASS,
24,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1_Ethernet5,PASS,
25,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2_Ethernet5,PASS,
26,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3_Ethernet5,PASS,
27,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host3_Ethernet1,PASS,
